angle,rate
18.5,58.45
18.6,58.15
18.7,58
18.8,55.75
18.9,57.1
19,56.35
19.1,57.95
19.2,64.35
19.3,68.1
19.4,71.35
19.5,92.6
19.6,127.45
19.7,127.95
19.8,83.9
19.9,57.45
20,53.75
20.1,47.55
20.2,48.35
20.3,45.95
20.4,44.85
20.5,46.7
