angle,rate
12,173.85
12.1,179.6
12.2,178.7
12.3,169.9
12.4,169.7
12.5,171.95
12.6,197.35
12.7,245.5
12.8,307.9
12.9,461.7
13,503.9
13.1,346.3
13.2,213.6
13.3,178.25
13.4,174.8
13.5,166.9
13.6,165.65
13.7,155.55
13.8,162.35
13.9,154.2
14,156.3
