angle,rate
21.5,37.45
21.6,38.5
21.7,38.4
21.8,40.1
21.9,55.35
22,117.75
22.1,242.8
22.2,290.2
22.3,220.4
22.4,124.1
22.5,59.7
22.6,44.4
22.7,37.1
22.8,36.45
22.9,34.1
23,31.8
