angle,rate
14,152
14.1,155.8
14.2,159.85
14.3,175.1
14.4,347.2
14.5,857.2
14.6,1236
14.7,1006.1
14.8,510.95
14.9,215
15,154.65
15.1,137
15.2,128.5
15.3,125.15
15.4,127.95
15.5,121.4
