angle,rate
5.5,1090.4
5.6,1081.9
5.7,1067.6
5.8,1058.7
5.9,1021.45
6,981.35
6.1,975.35
6.2,1073.3
6.3,1452.25
6.4,2056.8
6.5,2073.75
6.6,1546.2
6.7,1039.4
6.8,903
6.9,866.5
7,1036.75
7.1,2092.6
7.2,3624.1
7.3,3885.95
7.4,2798.3
7.5,1328.65
